C1:1
C2:1
C3:1
F1:1
L1:1
Q1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
